City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,kautokeino,69.0125,23.0412,-8.73,95,39,2.01,NO,"02/14/23,23:26:00"
227,leningradskiy,69.3833,178.4167,-32.24,95,100,3.82,RU,"02/14/23,23:26:01"
228,ixtapa,20.7,-105.2,24.01,60,0,5.66,MX,"02/14/23,23:26:01"
229,nieuw amsterdam,5.8833,-55.0833,25.09,93,40,1.03,SR,"02/14/23,23:26:01"
230,savannah bight,16.45,-85.85,25.93,81,1,10.84,HN,"02/14/23,23:26:02"
231,nelipyno,48.561,23.0315,-0.12,91,53,2.37,UA,"02/14/23,23:26:03"
232,ponta delgada,37.7333,-25.6667,9.4,76,20,1.54,PT,"02/14/23,23:26:04"
233,namibe,-15.1961,12.1522,21.94,80,70,2.25,AO,"02/14/23,23:26:05"
234,yakeshi,49.2833,120.7333,-30.57,97,59,1.59,CN,"02/14/23,23:26:05"
235,caravelas,-17.7125,-39.2481,24.65,86,100,2.54,BR,"02/14/23,23:26:06"
236,riyadh,24.6877,46.7219,15.08,23,7,2.55,SA,"02/14/23,23:26:06"
237,faanui,-16.4833,-151.75,27.43,72,31,4.23,PF,"02/14/23,23:26:07"
238,ailigandi,9.2333,-78.0167,25.57,87,65,7.09,PA,"02/14/23,23:26:07"
239,port elizabeth,-33.918,25.5701,22.83,88,20,3.6,ZA,"02/14/23,23:26:08"
240,coihaique,-45.5752,-72.0662,13.97,62,75,0.0,CL,"02/14/23,23:26:08"
241,whitianga,-36.8333,175.7,22.07,68,8,6.9,NZ,"02/14/23,23:26:09"
242,tazovskiy,67.4667,78.7,-19.59,100,100,3.23,RU,"02/14/23,23:26:10"
243,pisco,-13.7,-76.2167,25.03,73,0,7.2,PE,"02/14/23,23:26:10"
244,meulaboh,4.1363,96.1285,24.46,88,100,2.23,ID,"02/14/23,23:26:11"
245,ardakan,32.31,54.0175,9.1,66,100,3.06,IR,"02/14/23,23:26:11"
